Word,Meaning
Broken,"fragmented, in separate pieces "
Broker,a person who buys and sells assets for others
Bronze,mixture of metal and tin that is yellowish brown
Brood,the offspring or youngsters in a household unit 
Brooding,appearing to worry about something
Brook,a body of running water smaller than a river; a small stream
Brotherhood,a friendship bond between two men or a group of men
Brought,transported; carried
Brouhaha,an uproar about something insignificant
Browbeat,to bully in an intimidating way
Browse,"to casually look at something, usually when reading or considering a purchase"
Bruise,a blue and black mark on the skin that is an injury
Bruit,a report or a rumor
Brunt,the most unpleasant part of something
Brusque,blunt in manner or speech to the point of harshness
Brutal,violently cruel and inhumane
Brutality,the act of causing or executing cruelty to someone or something
Brute,a bully or mean person
Brutish,cruel
Bubbly,describes a person who is cheerful and animated in personality
Bucolic,relating to the countryside
Buddhism,a religion based on Gautama Buddha’s teachings that suffering is a part of life but can be ended through spiritual development
Budding,becoming larger as part of a natural growing process
Budge,move; shift
Budget,inexpensive; cheap
Buffer,a person or thing that protects somebody or something from being harmed by another
Buffet,"food laid out in this way, to which diners serve themselves"
Buffeted,afflicted/harmed over and over for a long period of time
Buffoon,a silly person who tries to be humorous but comes across as foolish
Buffoonery,silly behavior or habits 
Bugle,a small brass instrument that resembles a trumpet and is usually sounded before an announcement
Bulbous,having the shape of or resembling a bulb; bloated
Bulge,a rounded bump or swelling that juts outward on a surface
Bulk,the larger part of something
Bulky,large and heavily built or shaped
Bulletin,a newsletter or memo that generally announces important information
Bulwark,an object that acts as a shield
Bumbling,acting or moving about in a confused manner
Bumfuzzle,to confuse someone
Bummer,something that is disappointing
Bumptious ,confident in an annoying manner
Bundle,a group of objects held together by wrapping or tying 
Bundle,a group of something tied or joined together
Bungalow,"a small, one-story house with a front porch and a low-pitched roof"
Bungle,to clumsily perform a task
Bunkum,"something that is foolish, ridiculous, and makes no sense"
Buoy,a float in water that is used to mark something
Buoyant,joyful and self-assured
Burden,a heavy load
Burden,a problem or inconvenience 
Burdensome,tough to fulfill or carry out
Bureau,an agency or governmental department
Bureaucracy,a method of business or government in which red tape processes are used to delay action 
Bureaucratic ,associated with a lengthy and tiresome process for performing a task
Burgeon,to grow and expand rapidly
Burglar,a robber or thief that enters a building illegally to steal
Burglary,illegal entry into a building or vehicle with the intention of stealing
Burial,the act or ceremonial practice of placing something (usually a dead body) underground
Burlap,"coarse, plain-woven fabric used for bagging, furniture, and rugs"
Burlesque,a stage production or literary piece that uses excessive exaggeration or comedic imitation to ridicule something or someone
Burly,"large, strong and heavy"
Burnish,to polish; to make smooth or shiny
Burnt,seared; scorched
Burrow,to dig in order to make a hole or tunnel
Burst,to explode suddenly
Bury,"to cover completely, typically with dirt or some other earthy substance as an act of hiding or putting to rest"
Bushel,"a measure of capacity equal to 8 gallons, used for dry goods"
Busily,"hurriedly, in a very active way"
Business,"the activity of buying and selling goods and services, especially as one’s living"
Bust,"a sculpture or statue of a person’s head, shoulders, or chest"
Buster,something used to break something else apart
Bustle,to move in a noisy or hurried manner 
Busybody,"a person who is always in other people’s business, meddling and starting trouble"
Buttress,
Buxom ,describing a full-figured female with an ample bosom
Buy,obtain in exchange for payment
Buzz,a low hiss with a “z” sound
Buzzard,a hawk-like bird of prey that soars high with wide wings and a round tail
Buzzkill,a person or thing that stops others from enjoying themselves
By-product,a secondary product or result that's produced in the making or doing of something else
Bygone,associated with an earlier period of time
Bypass,to go around something
Bystander,a person who is present during a situation or event but not directly involved
Byzantine,complex; hard to comprehend
Cabal,a collection of people who come together to work against something or someone 
Cabalistic,of or relating to a cabal; secretive and cliquish
Cabinet,a cupboard with drawers or doors that are used to store household items
Cable,a thick rope or cord that usually has wire in the middle
Cache ,a hidden supply of something
Cachet ,the condition of having distinction or being admired or respected
Cachinnate,"the act of laughing, snorting, or physically putting all energy into laughter"
Cachinnation,"convulsive, loud laughter"
Cackle,laugh resembling the cry of a hen or goose
Cacoethes,an uncontrollable urge or desire to do something inadvisable
Cacography,bad handwriting	
Cacology,a bad choice of words or pronunciation
Cacophony,an unpleasant mixture of loud sounds
Cadaver,a lifeless body that is used for research
Cadaverous,similar in appearance to a corpse; pale and skinny
Cadge,to convince a person to give you something at no charge
Cadre,a group people specially-trained people for a particular purpose or profession
Caducity,frail old age; senile
Cagey,uncommunicative; unwilling or hesitant to give information
Cahoots,secretly working together to commit crime or dishonest activity
Cajole,persuade someone to do something; convince with gentle pleading; sweet-talk
Cajolery,flattery and gentle pleading done on purpose to persuade someone to do something
Calamitous,involving catastrophe
Calamity,a situation that results in extreme suffering
Calculated,referring to an action committed with full awareness of its consequences
Caldera,"a large, volcanic crater that is created after part of a volcano collapses"
Caliber,the worth of an individual’s character or his level of ability
Calibrate,to quantify in a careful and detailed manner 
Caliphate ,an Islamic territory directed by a religious and political director
Calisthenics,simple exercises that are performed by people to stay fit but don’t require the use of equipment
Call-out,an occasion when someone is asked to come to a person’s home to do a job or help with a task
Call,to cry out or summon someone
Calligraphy,elegant handwriting that is often created with a particular kind of brush or pen
Callipygian,having attractive or shapely buttocks
Callipygous,having a proportionate and well-shaped rear end
Callous,showing or having an insensitive and cruel disregard for others
Callow,"immature, lacking in life experience"
Calm,relaxed and showing no feelings of anger or anxiousness
Calumniate,to voice untrue accounts about an individual or group
Calumnious,slanderous or defamatory
Calumny,a false statement made to damage someone’s reputation
Camaraderie,good friendship and trust among members of a group
Cameo,a tiny role in a film that is performed by a famous individual
Camouflage,a means or attempt to conceal something 
Campaign,a set of steps taken to achieve a certain goal
Canal,an artificial waterway or channel
Canard,a phony report or story
Cancel,to decide or announce that something planned in advance will no longer take place
Cancer,the disease caused by an uncontrolled division of abnormal cells in a part of the body
Candid,truthful and straightforward
Candidacy,the state of being considered for a position
Candidate,someone being considered for a particular position
Candor,"the state or quality of being frank, open, and sincere in speech or expression"
Cane,a short stick or staff that people use to help them walk
Canister,a container with a lid that is used for keeping dry products
Canker,a fungal disease of trees that causes damage to the bark
Cannon,"a large, mounted gun that is used to fire heavy projectiles"
Canny,displaying good sense and judgment 
Canonical,following or according to the rules
Canonize,to regard something as being of utmost importance or significance
Canopy,"a cover of some type that is used as a roof, either for decorative purposes or as shelter"
Canorous,pleasant sounding
Cant,the unique vocabulary used by a specific group of people
Cantankerous,"easily angered, always complaining or arguing and difficult to get along with"
Canto,a section or stanza of a lengthy poem
Canvas,"a type of hard, rough cloth used for making sails, tents, and as a surface to be painted on"
 Canvass ,to seek out support from people 
Canyon,a deep gorge that usually has a river running through it
Capability,"the power, skill, or ability to do something"
Capable,able and competent
Capacious,having the ability to hold a great amount
Capacitate,make someone capable of a particular action or legally competent to act in a particular way 
Capacity,the total amount an object can hold
Caper,a silly stunt or activity
Capillary,associated with the tiny vessels of blood that link the arteries to the veins
Capital,"goods, monetary assets, and other things that can be used to produce income"
Capitalism ,a monetary arrangement in which goods and services are owned by groups or individuals not associated with the government
Capitol,a building in which the state or national legislature meets
Capitulate,to give in; to surrender under certain terms
Capitulation,act of giving up or giving in
Caprice,an impulsive act
Capricious,sudden behavior change
Caption,a title or short explanation under a picture in a book or magazine
 Captious ,always looking for faults; hard to please
Captivate,to catch and hold someone’s attention; mesmerize 
Captivating,very interesting and capable of grabbing your attention
Captivity,"the state or period of being imprisoned, confined, or enslaved"
Carafe,a large pitcher or container used to hold a beverage or wine
Carapace,"the outer shell of an arachnid, crustacean, or turtle"
Caravan,"a group of travelers, animals, or vehicles traveling together"
Caravansary,a crowd of individuals travelling around together or an establishment where caravans rest overnight
Caravel,a small sailing ship developed and used by the Portuguese and Spanish during 15th and 16th century exploration
Carbohydrate,"a sugar, starch, or cellulose that is a food source of energy for an animal or plant"
Carbon cycle,an exchange of carbon in the Earth’s atmosphere
Carcass,the body of a dead person or animal
Carcinogen,a substance or agent that can cause cancer
Cardiac,relating to the heart
Cardinal,fundamental; of the greatest importance
Cardiovascular,relating to the heart and blood vessels
Careen,"to move swiftly in an uncontrollable manner, sometimes from one side to another side"
Career,a job or occupation that a person does for an extended period
Carefree,easygoing and relaxed
Carin,"man-made mound of stones, used as landmarks "
Carnage ,that which is left after an extremely violent event such as a massacre
Carnal ,associated with passions of the flesh or body
Carnality,pertaining to physical or sexual desires
Carnival,a seasonal or roaming fair which usually has many fun attractions
Carnivore,any living creature that eats meat
Carouse,to take part in a drunken get-together
Carousel,a circular carnival ride that has horses or cars that children sit on while it circulates
Carp,to find fault or quarrel with someone constantly
Carpe Diem,an exclamation that urges individuals to seize the day with little concern of the future
Carping,having the tendency to complain or criticize
Carpool,a process in which multiple people ride in one person’s car to minimize travel cost
Carriage,a buggy-like means of transportation with four wheels which usually transports people and is pulled by horses
Carrier,someone who holds or has something
Carrion,flesh of a deceased animal
Carry Out,to do something
Carte blanche,freedom to do whatever one wants
Cartel,group of businesses or nations that collude to fix prices
Cartilage,a strong but flexible material found in some parts of the body
Cartographer,an individual who specializes in the creation of maps
Cartography,the science of producing maps 
Carve,to cut a material into a finished work
Cascade,something that occurs in rapid succession or in a series
Cash crop,"a crop produced to be sold, not to be used for personal use"
Casino,a place where a person goes to play games or gamble money
Cast,"actors who perform a role in a series, play, or movie"
Caste,a class hierarchy determined by a person’s heritage
Castigate,to criticize someone or something severely
Casual,"relaxed, easygoing, and informal"
Casualty,a person who is hurt or killed in a war or accident
Casuistry, a way of arguing in a misleading or deceptive manner
Catachresis,"the misuse of words on purpose, usually as a stylistic writing effect"
Cataclysm,an abrupt forceful event
Catacombs,underground cemeteries with tunnels and rooms where the dead are kept
Catalog,"a list, usually of goods or services for sale or items that are available to be used"
Catalyst," a person, thing, or event that quickly causes change or action"
Catalyze,to bring about a change
Catapult,"to hurl, launch, throw or propel"
Cataract,cloudy area in the eye's lens
Catastrophe,a disaster of huge proportions
Catastrophic,associated with a major disaster
Catatonic,motionless and unresponsive
Catch 22,difficult / no-win situation
Catchy,likely to attract attention or interest
Categorical,stated in a definite manner
Categorize,to place something in a class or group based on its attributes
Category,a class or division of people or things that have similar characteristics
Cater,to provide food professionally for a special occasion
Caterwaul,a shrill wailing or screeching noise
Catharsis,the process of releasing strong emotions and feelings
Cathartic,providing psychological relief through the open expression of strong emotions
Cathexis,"the obsessive concentration of one’s thoughts and emotions on a person, event, or object"
Catholic,extensive and widespread in choices and activities
Cattle,cows and bulls that are raised and are usually kept for their meat or milk
Catty,spiteful and mean in the way that one behaves or speaks
Caucus ,a gathering of individuals who come together to work for a shared objective – generally political in nature 
Cauldron,a large bowl shaped pot used for cooking over an open flame
Causality,a producing means or power
Cause,to make something happen
Caustic,extremely sarcastic or critical
Cauterize,to burn the skin around a wound to stop bleeding or prevent infection
Caution,acting carefully to avoid danger or mistakes
Cautionary,something that serves as a warning to others
Cautious,careful; watchful
Cavalcade,"a procession of things, usually related to movement"
Cavalier,displaying a lack of worry
Cavalry,soldiers in a certain part of the army who ride horses into battle
Caveat,a warning of the limits of a particular agreement or statement
Cavern,a large cave or chamber
Cavernous,vast; spacious
 Cavil ,to gripe about something minor
Cavity,an empty space within something that is usually used for something unexpected
Cavort,to move around in an excited fashion
Cease,to put an end to something
Ceasefire,an agreement between two warring factions to stop fighting
Cede,"to give away authority to a government, group, or person"
Celebrate,to recognize a special day or event by taking part in special activities
Celebratory,feeling or expressing happiness and joy
Celerity,quickness of motion; speed
Celestial ,associated with a spiritual paradise or heaven
Celibacy,"the state of voluntarily being unmarried, sexually abstinent, or both"
Cellar,an enclosed underground space under a building 
Cellular Respiration,the process by which organisms use oxygen to break down food molecules to get chemical energy for cellular functions
Celsius,"a measurement of temperature in which 0 is the freezing point, and 100 is the boiling point"
Cement,to firmly bind or join something together
Censor,to remove inappropriate or objectionable content
Censorious,extremely critical
Censorship,the practice of removing content viewed as inappropriate 
Censurable,deserving censure or blame
Censure,an official reprimand
Census,a certified tally of a population in a specific region
Centennial,the hundredth anniversary of an event or happening
Centerpiece,an object or project that takes a central position or importance
Centigrade,centigrade temperature scale
Central,essential or significant
Centrifugal,moving away or advancing from an axis or center
Centrifuge,a piece of machinery that spins rapidly in order to create a force which separates substances 
Centripetal,moving towards the center
Centurion,a commanding soldier in Ancient Rome who lead groups of 100 soldiers
Century,a period of 100 consecutive years
Cerebral,involving the brain or intellect
Ceremonial,relating to or used for formal religious or public events
Ceremony,a formal event held on a special occasion
Certain,"absolute, without question"
Certificate,a document containing certified facts
Certify,to guarantee that something is true in an official way
Certitude,the condition of being certain or sure about something
Cessation,the termination of something
Cesspool,a circumstance or place that is corrupt and/or filthy
Chafe,to worry or fret
Chaff,of very little value
Chagrin,a feeling of being frustrated or annoyed because of failure or disappointment 
Chair,a seat that a person sits in that usually has a back and four legs
Chalice,a large cup or goblet that is used to drink wine
Challenge,a demand to battle in a match or brawl
Chamber,a compartment or space
Champion,a person who has defeated all rivals in a competition
Chance,a possibility or likelihood
Changeable,easy to be changed or replaced
Changed,altered; made different
Changeling,a boy or girl who is replaced with another child either on purpose as part of a scheme or by accident
Channel,a passage that water or other liquids flow through
Chant,rhythmic speaking or singing of words or sounds
Chaos ,a state of confusion 
Chap,"of the skin become cracked, rough, or sore, typically through exposure to cold weather; a cracked or sore patch on the skin"
Chaperone,to watch and ensure the safety of another individual
Characteristic,trait
Characterize,to describe
Charade,a sham or farce
Charisma,charm; attractiveness
Charismatic,having a convincing charm that inspires others to believe what you say
Charitable,generous in giving to those in need
Charity,the voluntary giving of money or assistance to those in need
Charlatan,a person who falsely pretends to know or be something in order to deceive people
Charm,"the ability to persuade, delight or arouse admiration "
Chart,to record information
Charter,a government-issued document that provides a group or individual with certain rights 
Chary,apprehensive about doing something
Chase,to run after or pursue someone or something
Chasm ,a major difference in opinion between individuals or groups
Chaste,wholesome; pure in thought
Chasten,to punish or reprimand in order to correct 
Chastise,to criticize someone harshly for doing something wrong
Chastity,the condition of remaining pure and chaste
Chateau,a huge house or manor that is most often seen in France
Chatoyant,describes a gemstone that has a reflective streak or cat's eye effect in the center
Chattel,personal property that can be relocated
Chatter,trivial talk or chit chat
Chauffeur,one who drives a car as an occupation
Chauvinism,a narrow-minded confidence in the supremacy of one’s own group or gender
Chauvinist,someone who displays extreme or aggressive support for something
Cheap,low in price; not expensive
Cheapen,to reduce the price or quality of something
Checks and balances,a controlled system in the three government branches where each branch has some rights to change or stop the actions of another branch
Cheeky,impudent or unapologetic but in a generally charming way
Cheerful,displaying or feeling happiness
Chemical,any basic substance that is used in or produced by a reaction involving changes to atoms
Chemistry,emotional or mental attraction/interaction between two people
Cherish,to treasure or deeply care for something
Cherub ,a child who looks innocent or beautiful
Chew,to bite off something and grind it up using teeth
Chiaroscuro,an artistic image emphasizing the brightness and darkness while de-emphasizing color
Chic,tastefully stylish
Chicanery,"the use of trickery to achieve a political, financial, or legal purpose"
Chide,tell somebody off; scold
Chiffon,light and silky fabric
Child,a young human being
Childhood,"the time during which one is a child, from between infancy and puberty"
Childlike,being innocent or naïve in a manner befitting of a child
Chime,ringing or tone making component of a device 
Chimera,a creation of a person’s mind; something that is not real
Chimerical,an invention of an individual’s imagination
Chipper,happy and cheerful
Chirp,"a short, high-pitched sound"
Chisel,a long-bladed hand tool that is struck with a hammer to cut or shape hard materials
Chit-chat,"to engage in small talk, to discuss unimportant matters."
Chivalrous,displaying respect to members of the female sex
Chivalry,courteous conduct 
Chlorophyll ,the pigment in a plant responsible for its green color and the light absorption needed for energy production
Choice,an option; a decision; an opportunity to choose or select something
Choleric,easily irritated; grumpy
Cholesterol,a fatty substance in the body tissue and blood that is connected to heart disease when found in large amounts
Choose,to select
Chop,to cut something into pieces with a sharp blow from an edged tool
Chord,three or more musical tones sounded at the same time
Chore,"a routine and generally disliked task, usually carried out in the household"
Choreography,the sequence of steps and movements in a dance or figure skating routine
Chorister,a person who sings in a choir
 Chortle ,to chuckle or snort in amusement or glee
Chorus,a part of a song generally repeated after every verse
Chose,the act of having chosen something
Christened,ceremonially dedicated
Christianity,the religion that uses the Bible as its scared book and is based on the person and teachings of Jesus of Nazareth
Chromatic,relating to color; colorful
Chromatin,genetic material composed of DNA and proteins that condenses to form chromosomes
Chromosome,that portion of the cell that holds the genes which determine the identity and development of a plant or animal
Chronic,appearing for a lengthy period of time
Chronicle,a report that describes events in the order in which they occurred 
Chronological,organized in the order of occurrence
Chronology,the time pattern in which something happens
Chronometer,"an instrument designed to keep time with great accuracy, especially when at sea"
Chthonic,concerning or belonging to the underworld hell
Chuckle,to laugh quietly
Chum,a close friend or pal
Chunk,a large piece of something
Churl,a rude and mean-spirited person
Churlish,rude; impolite
Chute,"vertical or inclined plane, channel, or passage for sliding things downward"
Chutzpah,personal confidence or courage that may come across as rude but allows one to do or say what they feel
Cilia,"the feather-like, thin hairs connected to the eyelid known as an eyelash"
Cinder,"a small, glowing piece of partly burnt coal or wood"
Cinematography,the study or skill of making movies
Cipher,a code that is not easily solved
Circa,around or about a certain date
Circle,"a group of people that share interests, professions, or acquaintances"
Circuitous,not said or done simply or clearly 
Circular,shaped like a circle; round
Circulate,to spread or move around freely; to move in circles
Circulation,the continuous movement of something in a closed section
Circumference,"the distance around something round or rounded, like the distance around the edge of a circle"
Circumlocution,"the use of too many words to say something, especially in order to avoid saying something clearly"
Circumnavigate,to travel entirely around something
Circumscribe,to limit the range or scope of something to a particular degree
Circumspect,"to think carefully before doing or saying anything, in order to avoid risks or consequences; cautious"
Circumstance,a particular incident that influences another event
Circumstantial,something that seems to be true but is not proven
Circumvent,to get around something
Cistern,"a reservoir or tank for holding water, especially for catching and holding rainwater for later use"
Citadel,a stronghold or fortress that was normally built on elevated ground
Citation,specific information to identify and locate a specific publication
Cite,to use the words of another
Citizen,"a legally recognized resident of a city, state, or town"
Citizenship,the right to be a citizen of a particular country
Civic,related to a city or citizen
Civil Law,system of law concerned with private affairs between citizens rather than criminal affairs
Civil Rights,the rights of citizens to political and social freedom and equality
Civil,polite and cultured
Civilian,person who is not an active member of the armed forces; non-military person
Civility,politeness
Civilization, a society that is developed and productive in its resource usage
Civilized,well-mannered and polite
Clabber,curdle
Clad,concealed by something
Claim,to make a questionable statement about something
Claimant,"someone who makes a claim, especially in a lawsuit before a court"
Clairvoyant,able to see beyond the range of ordinary observation
Clamber,to crawl or climb in an awkward manner
Clambering,ascending in an awkward manner
Clammy,unpleasantly damp and sticky or slimy to touch
Clamor,to ask for loudly
Clamorous ,noisy; loud
Clan,a tribe or family
Clan,a group of close-knit people or families
Clandestine,done in an unobtrusive manner to avoid detection
Clang,"a loud, usually echoing sound of metallic impact"
Clangor,a continuous noisy banging 
Claptrap,ridiculous talk that doesn’t make any sense
Clarification,a detailed explanation given to make something more understandable
Clarify,to make clear and easier to understand
Clarion,forceful and clear-cut
Clarity,the quality of being clear and easily understood
Clash,to collide together noisily or violently
Clasp,take hold of; grab tightly
Class,"impressive style, wealth, or behavior"
Classic,a work of art that has been recognized to be of high quality and worth over time
Classification,a group of things or people that are grouped together because of what they have in common
Classification,the process of classifying or labeling things based on shared traits
Classify,to group things or people together in categories based on things they have in common
Classify,to arrange things into groups depending on their shared qualities
Classy,elegant and refined in look in style
Clause,a separate part of a contract or other binding document that gives more information
Claustrophobia,"the fear of closed, tight places"
Claw,"a curved pointed horny nail on each digit of the foot in birds, lizards, and some mammals"
Clay,sediment that is made up of particles smaller than silt
Cleanliness,the attribute of being clean or immaculate
Cleanse,"to clean or wash something, usually of impurities"
Clearance,official permission to do something
Cleats,shoes with have metal projections on the bottom that are worn during sporting events
Cleavage,a separation between two groups or things
Cleave,to split with a tool
Cleft,"an opening fissure, or V-shaped indentation made by or as if by splitting "
Clemency,a decision not to punish someone severely
Clement,mild or merciful
Clergy,individuals who lead religious groups 
Clerical,of or relating to clerks or their work; office tasks 
Cliche,a word or phrase used excessively
Client,a person who pays someone else for their services
Clientele,the individuals who frequent a certain business
Climate,the temperature and weather associated with an environment or area
Climatic,associated with climate 
Climax,"the most extreme part of a story, play, song, or situation"
Climb,to move upward towards the top of something
Clinch,to make certain; to finalize
Cling,hold tightly
Clingy,used to describe something that sticks onto someone or something tightly
Clingy,"something or someone that is likely to stick, catch, or otherwise be stuck to something"
Clinical,related to the observation and treatment of a patient
Clique,an exclusive group with few members
Cloak,"sleeveless, blanket-like covering"
Clod,"lump of something, especially of earth or clay"
Clog,to block or slow passage through
Cloister,to isolate from others
Clone,"an organism or cell, or group of organisms or cells, produced asexually from one ancestor or stock, to which they are genetically identical"
Close-minded,having a narrow outlook that makes it difficult to consider other views or opinions
Close,uncomfortably humid and lacking in breezes or wind
Closeness,to be in immediate distance or time to something else 
Closure,a sense of resolution at the end of an incident or artistic work
Cloture,the act of ending a debate or discussion with a request for a vote
Cloud nine ,"a state of bliss, elation or happiness"
Cloud,"a fluffy, usually white colored mass of water vapor that floats high in the sky"
Clout,special advantage or influence to control situations
Clown,someone who acts silly to entertain or make others laugh
Clown,a comedic circus entertainer that usually dresses up in a silly costume with a red nose and big shoes
 Cloying ,too sugary or sentimental
Clue,information that may lead one to a certain point or conclusion 
Clump,"a small, dense group of people or animals"
Clumsy,"awkward in movement or handling, prone to accidents or mistakes"
Clung,gripped or stuck to something
Cluster,a group of similar things that are physically close to one another
Clutch,to tightly hold or grasp
Clutter,a messy collection of things lying around
Coach,a person who trains others when it comes to a particular activity or skill
Coagulate,to thicken or develop as a mass
Coalesce,to join into a single mass
Coalition,a group formed to gain an advantage
Coarse ,lacking taste or sophistication
Coastal,near where a body of water meets land the coast
Coax,persuade gradually
Cobble,"to mend, repair, or put something together"
Cocky,conceited and smug
Cocky,arrogant and conceited
Cocoon,the silky protective case spun by the larvae of some insects and moths that serves as a covering for their pupal stage
Coda,"the final or extra part of a piece of music, speech, statement, or some other writing"
Coddle,to treat gently or with great care
Code,a systematic collection of rules and laws
Codependent,"attached to another person and reliant on them, usually emotionally or in an unhealthy way"
Codicil,an addition to the will that changes or clarifies the original document
Codify ,to classify things in a logical manner
Coefficient,a digit by which something else is multiplied 
Coerce,to make someone do something by using force or threats
Coetaneous,a comparative term that means having the same age or date of origin as something else
Coeval,similar in age or length of time
Coexist ,to live in peaceful accord with others
Coffer,a strong chest or box that is used to store money or valuables
Cog,a wheel or bar with protrusions that transfer motion by interacting with another object with similar protrusions
Cogency,the state of being clear and coherent in a way that is likely to persuade others
Cogent,very clear and easy for the mind to accept and believe
Cogitate, to think hard about; to consider
Cognate,associated by origin or birth
Cognition,the mental courses by which one obtains knowledge through experiences and thoughts
Cognizance,to have awareness or knowledge of something
Cognizant,"knowledgeable of something, especially through personal experience"
Cohere,to stick together; be united
Coherent,logical and clear
Cohesion,the act of coming together to form a united whole
Cohesive,closely united; well integrated
Cohort,a group of people supporting the same thing or person
Coiffure,the way in which a person’s hair is fixed; a hairstyle
Coil,to wind in circles or rings
Coinage,coins that are used in a country
Coinage,coins (in a collective sense) 
Coincide,to be similar or happen during the same time period
Coincidence,a condition in which at least two things happen concurrently without planning
Coincident,at the same time or in harmony with something
Coincidental,resulting from chance or unplanned circumstances
Coincidentally,happening by or resulting from coincidence; by chance
Coined,invented or created a new phrase
Coitus,sex or fornication
Cold War,a constant nonviolent state of hostility between the Soviet Union and the United States that began shortly after World War II
Cold,a state of being in which one feels adversely affected by temperatures below a certain level of comfort
Collaborate,to labor with individuals or a single person to complete a task
Collaboratively,in a way that involves two or more people working together towards a common goal
Collage,an artistic creation made by sticking many different things together
Collapse,to fall down suddenly due to pressure
Collate,to put information in a specific order
Collateral,something taken as a guarantee for a debt
Colleague ,someone who shares the interests or work of another 
Collection,"an assembly of items that are perceived as having cultural value, acquired as a set by a collector"
Collectively,as a unit or group
Collegial ,associated with a pleasant relationship between co-workers or peers
Collegiate,associated with college life
Collide,to crash or smack into one another
Collision,a crash in which objects collide into each other
Colloquial,casual and conversational language
Colloquy, a serious chat or conversation
Collude,to conspire for a secret purpose
Collusion,a private agreement for a dishonest purpose
Collywobbles,a feeling of fear or nervousness
Colon,the longest part of the large intestine that connects to the rectum
Colonel,a high Army rank above Lieutenant Colonel but below Brigadier General
Colonialism,the instance of one country dominating another territory and its citizens
Colonist,a founder of a colony; a person who settles in a new colony
Colonization,the process of establishing a colony
Colonnade,architectural pillars in front of a building
Colony,an area where individuals who have something in common live as a group
Color,to dye something a particular hue or shade
Colossal ,extremely large in size
Colossus,a thing or person that is very large or gigantic
Column,a-pillar or post that stands upright and is shaped like a cylinder
Comatose,unconscious and unable to communicate
Combat,"ake action to reduce, destroy, or prevent"
Combatant,an armed fighter
Combative,ready to fight; argumentative
Combination,the result of the grouping together of several different things
Combine,to bring two or more things or activities together; to unite
Combustible,something that is susceptible to igniting or being caught on fire
Combustion,the process of burning
Comeback,"a return to popularity, success, etc. after an extended period of obscurity"
Comedy,"professional entertainment designed to make the audience laugh, typically through jokes or satire"
Comeliness,attractiveness; beauty
Comely,attractive to the eye
Comer,one showing promise of attaining success
Comestible,an item of food
Comet,"a celestial body, generally with a tail located in the solar system"
Cometh,a form of the word come that is third-person singular simple present indicative form but is archaic and rarely used
Comeuppance,just punishment that someone deserves
Comfort,to relieve the distress or suffering of; to provide relief to
Comical,funny; amusing
Comically,in a funny or joking way
Comity,mutual courtesy and respect
Command,to order someone to do something
Commandeer,to take control of something
Commander-in-chief,the supreme commander in a country’s armed forces
Commander,"a person in control of a group of people, especially military groups"
Commandment,a divine rule handed down by God
Comme il faut,conforming and proper; behaving appropriately in public
Commemorate,to do something special as a means of tribute or recognition 
Commence,to get under way 
Commencement,graduation ceremony in which diplomas or degrees are confirmed
Commend,to express approval of a person's achievements
Commendable,"deserving honor, respect, or admiration"
Commendation,an award or honor
Commensalism,a relationship between two distinct organisms in which one of the things obtains a benefit of some sort and the other organism neither gains nor loses anything 
Commensurate,in proportion; equal
Commentary,descriptive remarks based on someone’s viewpoint
Commerce,actions associated with selling and buying services and goods
Commiserate,express or feel sympathy or pity
Commission,an amount of money given as a payment from the company for completing a business deal
Commit,to make one’s self obliged to do something or bound to a promise
Commitment,the act of dedicating yourself to a cause or activity; dedication
Committee,a group of people appointed or elected to work on project or study a problem
Commodious,spacious and convenient; roomy and comfortable
Commodity ,an item that can be purchased and retailed
Common law,a law that has become common practice and is widely accepted
Common,happening every day or ordinary
Commonality,the condition of sharing certain characteristics
Commoner,an ordinary person who has no special title and isn’t of royal blood
Commonplace,ordinary; not unusual
Commonsensical,based on sound reasoning or information
Commonwealth,"an independent country, community or state"
Commotion,noisy confusion
Communal,used to describe something that is shared by or available to all members of a specific community
Commune ,a community in which individuals live together and share work and rewards
Communicable,referring to a disease that can be transmitted or given to others
Communicate,"to share information or ideas through words, movement, or writing"
Communication,the ability or act of talking with another person either in person or through some other medium to exchange information
Communism,a financial and political system in which the government controls all of a country’s major resources and distributes them according to need
Commute,"to travel to and from work on a regular basis, typically from home"
Commute,to travel a considerable distance between home and work on a regular basis
Commuter,a person who regularly travels a great distance to work
Compact,condensed; compressed
Compaction,the process of making more compact or densely packed together
Companion,someone you spend a lot of time with
Companion,a person who accompanies another person while traveling or doing other tasks
Company,a person or group of people seen as pleasant or enjoyable to be around
Comparable,having features in common with something else
Comparative advantage,the ability of an individual or group to carry out a particular economic activity such as making a specific product more efficiently than another activity
Comparative,relative; in comparison to something else
Comparatively,to a moderate degree when compared to something else
Compare,to note similarities between things
Comparison,the act of telling what two or more things have in common
Compartment,"a separate division or section, often of a room, chamber, or container"
Compartmentalize,to separate and isolate things into compartments or categories
Compass,"a round, arrowed device that always points north and is used to find direction"
Compassion,awareness of an individual’s suffering
Compassionate,displaying concern and/or understanding towards other people
Compatible,able to occur together or exist without conflict
Compatriot,somebody from one's own country
Compel,to press or force to have something done 
Compelling,captivating; enthralling
Compendious,something that has been explained in a concise or brief way
Compendium,an assortment of items displayed as a set
Compensate ,to give a form of payment for a good or service or as a means of making up for a misdeed 
Compensation,that which is given as payment for a service or as reimbursement for a loss or expense 
Compete,To try to win something such as a prize or award
